time,x,y,z,clock_bias_m,num_sats,satellites,rms_residual_m,state_vec,lat_deg,lon_deg,alt_m,velocity_mps
2026-03-22 06:47:34.416831+00:00,4437337.657712499,3085179.8087865342,3376285.0145682236,-328.66712289579635,5,"E07,E15,E21,E29,E34",26.8540500055913,[ 4.43733766e+06  3.08517981e+06  3.37628501e+06 -3.28667123e+02],32.16705595801366,34.81000950269532,297.1642481973395,3.950050629581935
2026-03-22 06:47:36.416831+00:00,4437329.81430492,3085163.456637565,3376281.516076192,-332.293952734186,5,"E07,E15,E21,E29,E34",30.437570706417844,[ 4.43732981e+06  3.08516346e+06  3.37628152e+06 -3.32293953e+02],32.167104984175324,34.809914634850905,281.94853596854955,9.23514029203175
2026-03-22 06:47:38.416831+00:00,4437179.768411919,3085069.8870652514,3376223.4314886713,-449.9291717317825,5,"E07,E15,E21,E29,E34",785.3532576044828,[ 4.43717977e+06  3.08506989e+06  3.37622343e+06 -4.49929172e+02],32.16750949571889,34.81000824149893,101.52487248089164,93.0629547362517
2026-03-22 06:47:40.416831+00:00,4437368.9847403625,3085157.457870848,3376308.6378142834,-307.61945209439335,5,"E07,E15,E21,E29,E34",35.88316925222273,[ 4.43736898e+06  3.08515746e+06  3.37630864e+06 -3.07619452e+02],32.16717405349115,34.80962536204881,320.7133458936587,112.61836314181026
2026-03-22 06:47:42.416831+00:00,4437331.477860553,3085121.2027852847,3376292.0314043295,-336.60943596562186,5,"E07,E15,E21,E29,E34",38.46683945186396,[ 4.43733148e+06  3.08512120e+06  3.37629203e+06 -3.36609436e+02],32.16729449495038,34.80953676954408,268.284856364131,27.372294906477574
2026-03-22 06:47:44.416831+00:00,4437365.084638889,3085124.8488654587,3376310.488418934,-315.02545037708137,5,"E07,E15,E21,E29,E34",34.986390655454656,[ 4.43736508e+06  3.08512485e+06  3.37631049e+06 -3.15025450e+02],32.167292920271514,34.809365121552545,303.23052164539695,19.257276799003716
2026-03-22 06:47:48.416831+00:00,4437360.685889656,3085089.192497892,3376314.732758176,-323.5454724545376,5,"E07,E15,E21,E29,E34",31.930251818238546,[ 4.43736069e+06  3.08508919e+06  3.37631473e+06 -3.23545472e+02],32.16744037641746,34.809081370795724,285.203122776933,9.044127785768474
2026-03-22 06:47:52.416831+00:00,4437196.985714583,3084965.8410222046,3376256.070021357,-453.51372638173933,5,"E07,E15,E21,E29,E34",777.514995027877,[ 4.43719699e+06  3.08496584e+06  3.37625607e+06 -4.53513726e+02],32.1679759325779,34.808998340110314,80.59077252913266,53.30024071489845
2026-03-22 06:47:56.416831+00:00,4437195.621926601,3084924.239533794,3376258.06426689,-468.8784478870479,5,"E07,E15,E21,E29,E34",771.9657194843346,[ 4.43719562e+06  3.08492424e+06  3.37625806e+06 -4.68878448e+02],32.16811054853597,34.808644455886395,60.60238156002015,10.417895573462278
2026-03-22 06:47:58.416831+00:00,4437400.6512827175,3085007.1519274814,3376349.3650020026,-318.4382577028402,5,"E07,E15,E21,E29,E34",33.34560784308065,[ 4.43740065e+06  3.08500715e+06  3.37634937e+06 -3.18438258e+02],32.167772032836034,34.80812537678157,291.775386037305,119.63206732373409
2026-03-22 06:48:00.416831+00:00,4437411.450851611,3084989.7590494896,3376360.8658929127,-315.16115866814454,5,"E07,E15,E21,E29,E34",32.10251677742537,[ 4.43741145e+06  3.08498976e+06  3.37636087e+06 -3.15161159e+02],32.167864916970906,34.807908621249766,297.00021139811724,11.741096465484663
2026-03-22 06:48:02.416831+00:00,4437421.916173237,3084974.0930147823,3376368.3915027813,-312.5998357734629,5,"E07,E15,E21,E29,E34",32.22147452366867,[ 4.43742192e+06  3.08497409e+06  3.37636839e+06 -3.12599836e+02],32.167924041361985,34.80770892007922,300.71076263766736,10.143746892689895
2026-03-22 06:48:04.416831+00:00,4437438.851674513,3084960.141216605,3376375.408420184,-306.6843831491692,5,"E07,E15,E21,E29,E34",23.904085571472816,[ 4.43743885e+06  3.08496014e+06  3.37637541e+06 -3.06684383e+02],32.16794907943733,34.807484985664495,309.4758399743587,11.518474352910227
2026-03-22 06:48:06.416831+00:00,4437459.510248644,3084958.766180307,3376393.488381415,-294.47936950453055,5,"E07,E15,E21,E29,E34",24.75991705386534,[ 4.43745951e+06  3.08495877e+06  3.37639349e+06 -2.94479370e+02],32.16800942144603,34.807347998603014,332.79564719088376,13.743656792072967
2026-03-22 06:48:08.416831+00:00,4437464.712769148,3084953.993372629,3376413.6853830414,-287.9478536263696,5,"E07,E15,E21,E29,E34",27.97003471825633,[ 4.43746471e+06  3.08495399e+06  3.37641369e+06 -2.87947854e+02],32.168156161068296,34.80727496910368,344.8583683865145,10.697719236067435
